event_id,session_id,generator_label,is_designed_anomaly,designed_cluster,audio_design
EVT_0001,SITE_01_P01_A,hn_env_confounded,False,SITE_01_infrastructure_cluster,mechanical
EVT_0002,SITE_01_P01_A,bg_audio,False,none,bg_audio
EVT_0003,SITE_01_P01_A,bg_physio,False,none,control
EVT_0004,SITE_01_P02_A,bg_light,False,none,control
EVT_0005,SITE_01_P02_A,bg_single_sensor,False,none,control
EVT_0006,SITE_01_P04_A,bg_physio,False,none,control
EVT_0007,SITE_01_P04_A,hn_env_confounded,False,SITE_01_infrastructure_cluster,mechanical
EVT_0008,SITE_01_P05_A,bg_light,False,none,control
EVT_0009,SITE_01_P06_A,bg_movement,False,none,control
EVT_0010,SITE_01_P07_A,protocol_interruption,False,none,none
EVT_0011,SITE_01_P07_B,hn_env_confounded,False,SITE_01_infrastructure_cluster,mechanical
EVT_0012,SITE_01_P08_A,hn_env_confounded,False,SITE_01_infrastructure_cluster,mechanical
EVT_0013,SITE_01_P08_A,bg_single_sensor,False,none,control
EVT_0014,SITE_01_P09_A,hn_env_confounded,False,SITE_01_infrastructure_cluster,mechanical
EVT_0015,SITE_02_P01_A,bg_single_sensor,False,none,control
EVT_0016,SITE_02_P01_A,hn_movement,False,none,env_source
EVT_0017,SITE_02_P02_A,bg_movement,False,none,control
EVT_0018,SITE_02_P04_A,hn_movement,False,none,env_source
EVT_0019,SITE_02_P04_A,hn_startle_lag,False,none,unknown_transient
EVT_0020,SITE_02_P04_A,bg_env_audio,False,none,mechanical
EVT_0021,SITE_02_P05_A,bg_single_sensor,False,none,control
EVT_0022,SITE_02_P06_A,bg_audio,False,none,bg_audio
EVT_0023,SITE_02_P08_A,bg_single_sensor,False,none,control
EVT_0024,SITE_02_P08_A,bg_movement,False,none,control
EVT_0025,SITE_02_P08_A,bg_audio,False,none,bg_audio
EVT_0026,SITE_02_P08_A,bg_physio,False,none,control
EVT_0027,SITE_02_P09_A,bg_light,False,none,control
EVT_0028,SITE_02_P09_A,tp_partial,True,isolated,weak_positive
EVT_0029,SITE_03_P01_A,bg_physio,False,none,control
EVT_0030,SITE_03_P02_A,bg_physio,False,none,control
EVT_0031,SITE_03_P03_A,bg_physio,False,none,control
EVT_0032,SITE_03_P04_A,bg_light,False,none,control
EVT_0033,SITE_03_P04_A,bg_single_sensor,False,none,control
EVT_0034,SITE_03_P04_A,hn_spiritbox_radio,False,none,spiritbox_voice
EVT_0035,SITE_03_P04_A,tp_full,True,isolated,positive
EVT_0036,SITE_03_P07_A,tp_partial,True,isolated,weak_positive
EVT_0037,SITE_03_P08_A,hn_startle_lag,False,none,unknown_transient
EVT_0038,SITE_03_P09_A,bg_single_sensor,False,none,control
EVT_0039,SITE_04_P03_A,bg_physio,False,none,control
EVT_0040,SITE_04_P04_A,bg_single_sensor,False,none,control
EVT_0041,SITE_04_P04_A,bg_movement,False,none,control
EVT_0042,SITE_04_P04_A,bg_single_sensor,False,none,control
EVT_0043,SITE_04_P05_A,hn_env_confounded,False,none,mechanical
EVT_0044,SITE_04_P05_A,bg_light,False,none,control
EVT_0045,SITE_04_P05_A,bg_physio,False,none,control
EVT_0046,SITE_04_P07_A,hn_degraded_quality,False,none,maybe
EVT_0047,SITE_04_P08_A,bg_movement,False,none,control
EVT_0048,SITE_04_P08_A,bg_single_sensor,False,none,control
EVT_0049,SITE_04_P08_A,tp_no_audio,True,isolated,control_nothing
EVT_0050,SITE_04_P08_A,bg_env_audio,False,none,mechanical
EVT_0051,SITE_04_P08_A,bg_light,False,none,control
EVT_0052,SITE_04_P10_A,bg_audio,False,none,bg_audio
EVT_0053,SITE_05_P01_A,hn_degraded_quality,False,none,maybe
EVT_0054,SITE_05_P01_A,bg_light,False,none,control
EVT_0055,SITE_05_P02_A,protocol_interruption,False,none,none
EVT_0056,SITE_05_P02_B,bg_light,False,none,control
EVT_0057,SITE_05_P02_B,bg_audio,False,none,bg_audio
EVT_0058,SITE_05_P02_B,tp_partial,True,isolated,weak_positive
EVT_0059,SITE_05_P03_A,tp_full,True,isolated,positive
EVT_0060,SITE_05_P03_A,tp_partial,True,isolated,weak_positive
EVT_0061,SITE_05_P04_A,bg_light,False,none,control
EVT_0062,SITE_05_P05_A,bg_single_sensor,False,none,control
EVT_0063,SITE_05_P07_A,bg_env_audio,False,none,mechanical
EVT_0064,SITE_05_P07_A,hn_spiritbox_radio,False,none,spiritbox_voice
